geneID	baseMean	log2FoldChange	lfcSE	pvalue	group1	group2	minusLog10p
YJR004C	1314.55504594597	-4.22516469605657	0.195218206608142	3.9035401919312e-105	alpha_diploid	alpha_no	101.68113565638
YJR086W	350.874544774541	-5.40241585810098	0.209633742641527	7.25797924205053e-147	alpha_diploid	alpha_no	143.235687330888
YKL178C	1021.50766774667	-5.55988125780399	0.109372423746962	0	alpha_diploid	alpha_no	Inf
YLR040C	520.291648116087	-4.57277517327675	0.11953967601624	0	alpha_diploid	alpha_no	Inf
YLR157W-E	91.0676867714643	-5.91965856549922	0.554770881680428	1.66785896591686e-27	alpha_diploid	alpha_no	24.6788239178387
YLR265C	148.228129631905	-3.85647141676506	0.147924693031288	3.50288523157686e-150	alpha_diploid	alpha_no	146.494085197347
YML123C	1103.72584041699	3.41280094599216	0.145710850870863	1.0750231348709e-122	alpha_diploid	alpha_no	119.20338794031
YOR248W	6.79857091138785	-4.03000626391214	1.00932976559168	1.4565575523866e-05	alpha_diploid	alpha_no	3.82804505999936
YCR041W	12.9556417482511	-3.8258223007288	0.438140655097705	5.73559860347023e-19	alpha_pseudo	alpha_no	16.2272260048395
YCR097W	1147.50410163988	17.1443652094263	3.6779107287387	2.86605196201983e-48	alpha_pseudo	alpha_no	45.0371590013691
YGL089C	918.234219086619	-4.94749935715558	0.160404202358895	1.50442896151843e-210	alpha_pseudo	alpha_no	206.618101371637
YJR004C	1314.55504594597	-3.67751518818877	0.192571400248441	1.74436687727429e-82	alpha_pseudo	alpha_no	78.9517752341473
YKL178C	1021.50766774667	-3.3326660962652	0.0766130255646821	0	alpha_pseudo	alpha_no	Inf
YLR040C	520.291648116087	-3.50378830989867	0.0965538271001054	1.50180254176803e-289	alpha_pseudo	alpha_no	285.31783022631
YLR157W-E	91.0676867714643	-6.23298072813317	0.543385136956771	1.6332096286626e-31	alpha_pseudo	alpha_no	28.4574923887302
YLR157W-E	91.0676867714643	-5.37679600851592	0.453163439033685	1.39923042172961e-33	alpha_nej1_del	alpha_no	29.3658421456056
YLR265C	148.228129631905	-6.54795837634903	0.272617127925233	6.81251478497161e-127	alpha_nej1_del	alpha_no	122.37739393102
YML047W-A	3.08508026642988	-4.20064561798332	1.25592163825499	1.2722011950464e-05	alpha_nej1_del	alpha_no	3.70384077556941
